Date,open,high,low,close,volume
4/22/14,45.88,46.71,45.54,46.59,4981400
4/21/14,46.18,46.24,45.68,46.11,3000900
4/17/14,45.35,46.06,45.08,45.83,6542500
4/16/14,45.7,45.73,44.54,45.21,8908100
4/15/14,45.38,45.99,45.04,45.81,6506100
4/14/14,45.76,45.76,44.92,45.32,5175100
4/11/14,44.77,45.74,44.73,44.98,8361500
4/10/14,47.12,47.29,45.52,45.53,8497300
4/9/14,46.95,47.36,46.56,47.24,4638900
4/8/14,46.36,46.9,46.28,46.77,6590100
4/7/14,46.29,46.9,46.02,46.25,7278000
4/4/14,47.89,48,46.23,46.34,7418800
4/3/14,47.73,47.89,47.5,47.69,2626800
4/2/14,47.58,47.97,47.47,47.62,5153900
4/1/14,47.32,49.77,47.12,47.53,6467800
3/31/14,47.06,47.44,46.86,47.16,4650500
3/28/14,46.23,47.06,46.12,46.64,4329500
3/27/14,46.45,46.62,46,46.08,4935700
3/26/14,46.98,47.25,46.23,46.39,6824900
3/25/14,46.84,46.9,46.1,46.69,6606500
3/24/14,46.8,47,46.2,46.57,6884000
3/21/14,47.43,47.65,46.49,47.15,21693300
3/20/14,45.55,46.97,45.41,46.95,7694600
3/19/14,45.51,46.01,45.27,45.52,5830900
3/18/14,45.21,45.65,45.07,45.4,4093400
3/17/14,44.54,45.52,44.41,45.27,5894500
3/14/14,44.95,45.29,44.29,44.31,10047300
3/13/14,46.5,46.78,44.92,44.99,9890400
3/12/14,45.52,46.6,45.52,46.43,9523400
3/11/14,45.99,46.24,45.3,45.67,4978200
3/10/14,45.91,46,45.53,45.87,3370300
3/7/14,45.88,46.04,45.62,45.85,3872400
3/6/14,45.31,45.75,45.21,45.68,4803100
3/5/14,44.15,45.6,44.15,45.18,5094800
3/4/14,44.83,45.41,44.82,45.26,5112200
3/3/14,44.68,44.94,44.35,44.58,4679400
2/28/14,44.88,45.19,44.58,44.96,5772900
2/27/14,44.53,44.82,44.48,44.78,4343500
2/26/14,44.5,44.94,44.49,44.63,4532100
2/25/14,44.49,44.71,44.07,44.47,5303900
2/24/14,44.22,44.83,44.2,44.45,5311800
2/21/14,44.4,44.43,44.02,44.15,5669500
2/20/14,43.85,44.26,43.8,44.2,5371100
2/19/14,43.83,44.15,43.67,43.93,5346600
2/18/14,43.75,44.07,43.24,44.01,5826100
2/14/14,43.52,43.94,43.4,43.86,4907400
2/13/14,43.05,43.75,43.05,43.74,5029100
2/12/14,43.24,43.44,43.01,43.3,5041200
2/11/14,42.76,43.29,42.31,43.13,7149900
2/10/14,41.97,42.37,41.89,42.36,4666000
2/7/14,41.56,42,41.29,41.95,6005000
2/6/14,41.19,41.44,41,41.23,4734500
2/5/14,40.63,41.13,40.33,40.97,9254300
2/4/14,41.6,41.7,40.85,40.89,10529900
2/3/14,42.42,42.5,41.38,41.5,12669400
1/31/14,41.35,42.65,41.26,42.4,12821700
1/30/14,42.61,42.93,42.43,42.69,6703000
1/29/14,42.32,42.75,42.24,42.4,8619600
1/28/14,42.58,42.93,42.3,42.9,6356100
1/27/14,42.95,43.27,42.55,42.64,7360000
1/24/14,43.79,44.03,42.88,42.95,10676700
1/23/14,44.12,44.55,43.95,44.09,8236400
1/22/14,43.7,44.82,43.55,44.61,9822000
1/21/14,43.75,43.93,43.37,43.85,7413800
1/17/14,43.2,43.85,43.01,43.45,6614200
1/16/14,43.52,43.6,43.24,43.37,4086900
1/15/14,43.45,43.65,43.1,43.54,6605400
1/14/14,42.5,43.4,42.35,43.34,6892700
1/13/14,42.96,43.1,42.12,42.24,6759100
1/10/14,43.15,43.25,42.74,43.11,5330900
1/9/14,43.28,43.39,42.9,43.06,3383800
1/8/14,42.96,43.32,42.62,43.29,6353500
1/7/14,42.98,43.11,42.64,42.7,5078900
1/6/14,43.25,43.28,42.85,42.93,4446300
1/3/14,43.12,43.46,42.97,43.29,4693300
1/2/14,43.44,43.5,42.88,43.1,6959200
