CompanyId	ShareClassId	Symbol	ExchangeId	ISIN	CUSIP
0C000006WA	0P000000RD	BRK.A	NYSE	US0846707026	084670702
0C00000AGU	0P00000031	T	NYSE	US00206R1023	00206R102
0C000009EB	0P000000B7	AMZN	NAS	US0231351067	023135106
0C000098V0	0P0000W3KZ	FB	NAS	US30303M1027	30303M102
0C000007XQ	0P000002HD	GOOGL	NAS	US38259P5089	38259P508
0C000006U3	0P000000PA	BAC	NYSE	US0605051046	060505104
0C000007DF	0P000001A2	C	NYSE	US1729674242	172967424
0C000007VR	0P000002FD	GILD	NAS	US3755581036	375558103
0C00000AMP	0P000001DB	CMCSA	NAS	US20030N1019	20030N101
0C00000C6W	0P000004B0	PEP	NYSE	US7134481081	713448108
0C00000ZNN	0P0000CUPM	PM	NYSE	US7181721090	718172109
0C00000AB1	0P000000F0	AMGN	NAS	US0311621009	031162100
0C000009LT	0P000005VC	AGN	NYSE	IE00BY9D5467	G0177J108
0C00000C0U	0P0000043L	ORCL	NYSE	US68389X1054	68389X105
0C00000AUE	0P000000ZP	CVS	NYSE	US1266501006	126650100
0C00009SSX	0P0000XPGW	ABBV	NYSE	US00287Y1091	00287Y109
0C000008BI	0P000003JU	MDT	NYSE	IE00BTN1Y115	G5960L103
0C000009E2	0P000000AV	MO	NYSE	US02209S1033	02209S103
0C000008XO	0P000004UK	SLB	NYSE	AN8068571086	806857108
0C0000070T	0P000000VL	BMY	NYSE	US1101221083	110122108
0C000008O0	0P000004J4	QCOM	NAS	US7475251036	747525103
0C0000078B	0P00000152	CELG	NAS	US1510201049	151020104
0C00000KP8	0P00005U6B	MA	NYSE	US57636Q1040	57636Q104
0C00000CD6	0P00000546	SBUX	NAS	US8552441094	855244109
0C00000A91	0P000000D5	AIG	NYSE	US0268747849	026874784
0C00000BBJ	0P000002PC	HON	NYSE	US4385161066	438516106
0C00000CTP	0P000005MG	UNP	NYSE	US9078181081	907818108
0C000009KY	0P000005UI	WBA	NAS	US9314271084	931427108
0C000007E3	0P000001WJ	LLY	NYSE	US5324571083	532457108
0C00000CW2	0P000005KW	USB	NYSE	US9029733048	902973304
0C000007ZZ	0P0000036D	MDLZ	NAS	US6092071058	609207105
0C0000096K	0P0000003P	ABT	NYSE	US0028241000	002824100
0C00000KPI	0P000000SH	BIIB	NAS	US09062X1037	09062X103
0C00000CUJ	0P000005NC	UPS	NYSE	US9113121068	911312106
0C00000CNQ	0P000005FT	TWX	NYSE	US8873173038	887317303
0C0000085J	0P000003C9	LOW	NYSE	US5486611073	548661107
0C0000097A	0P0000004C	ACN	NYSE	IE00B4BNMY34	G1151C101
0C00000ARG	0P000001IK	COST	NAS	US22160K1051	22160K105
0C00000APG	0P000001GE	COP	NYSE	US20825C1045	20825C104
0C000008DE	0P000003LS	MET	NYSE	US59156R1086	59156R108
0C000008HA	0P000003PC	MS	NYSE	US6174464486	617446448
0C0000091V	0P000004YN	SPG	NYSE	US8288061091	828806109
0C000007QC	0P0000029A	F	NYSE	US3453708600	345370860
0C00000ALZ	0P000001CL	CL	NYSE	US1941621039	194162103
0C00008FST	0P0000SDEF	KMI	NYSE	US49456B1017	49456B101
0C0000084Y	0P000003BP	LMT	NYSE	US5398301094	539830109
0C00000BA3	0P000002O2	HPQ	NYSE	US4282361033	428236103
0C00000BY8	0P00000412	OXY	NYSE	US6745991058	674599105
0C00000BTR	0P00000654	FOXA	NAS	US90130A1016	90130A101
0C000007EO	0P000001TS	EMC	NYSE	US2686481027	268648102
0C00000CM8	0P000005EI	TXN	NAS	US8825081040	882508104
0C00000CIT	0P000005B5	TGT	NYSE	US87612E1064	87612E106
0C00000B0E	0P000001RP	DOW	NYSE	US2605431038	260543103
0C000006UA	0P000000PH	BK	NYSE	US0640581007	064058100
0C000008H1	0P000003P3	MON	NYSE	US61166W1018	61166W101
0C000007TZ	0P000002DN	GD	NYSE	US3695501086	369550108
0C000007LB	0P0000023X	FDX	NYSE	US31428X1063	31428X106
0C00000753	0P00000129	COF	NYSE	US14040H1059	14040H105
0C00006B5P	0P0000RQZL	GM	NYSE	US37045V1008	37045V100
0C0000094V	0P0000051F	SO	NYSE	US8425871071	842587107
0C00000ABM	0P000000FD	APC	NYSE	US0325111070	032511107
0C00000B6M	0P000002KN	HAL	NYSE	US4062161017	406216101
0C000008Q5	0P000004LV	RTN	NYSE	US7551115071	755111507
0C000007EY	0P000001X9	EMR	NYSE	US2910111044	291011104
0C00000B34	0P0000062O	EBAY	NAS	US2786421030	278642103
0C000007JK	0P0000021L	EXC	NYSE	US30161N1019	30161N101
0C000009DD	0P000000A3	ALL	NYSE	US0200021014	020002101
0C00000BV3	0P000003XQ	NSC	NYSE	US6558441084	655844108
0C000006V2	0P000000QB	BAX	NYSE	US0718131099	071813109
0C00000AXQ	0P000001P4	DVN	NYSE	US25179M1036	25179M103
